relative_id,timestamp,WAS_IMU9_Acc_X,WAS_IMU9_Acc_Y,WAS_IMU9_Acc_Z,WAS_IMU9_Gyro_X,WAS_IMU9_Gyro_Y,WAS_IMU9_Gyro_Z,WAS_IMU9_Magn_X,WAS_IMU9_Magn_Y,WAS_IMU9_Magn_Z,RC_IMU9_Acc_X,RC_IMU9_Acc_Y,RC_IMU9_Acc_Z,RC_IMU9_Gyro_X,RC_IMU9_Gyro_Y,RC_IMU9_Gyro_Z,RC_IMU9_Magn_X,RC_IMU9_Magn_Y,RC_IMU9_Magn_Z,LT_IMU9_Acc_X,LT_IMU9_Acc_Y,LT_IMU9_Acc_Z,LT_IMU9_Gyro_X,LT_IMU9_Gyro_Y,LT_IMU9_Gyro_Z,LT_IMU9_Magn_X,LT_IMU9_Magn_Y,LT_IMU9_Magn_Z,LC_IMU9_Acc_X,LC_IMU9_Acc_Y,LC_IMU9_Acc_Z,LC_IMU9_Gyro_X,LC_IMU9_Gyro_Y,LC_IMU9_Gyro_Z,LC_IMU9_Magn_X,LC_IMU9_Magn_Y,LC_IMU9_Magn_Z,RT_IMU9_Acc_X,RT_IMU9_Acc_Y,RT_IMU9_Acc_Z,RT_IMU9_Gyro_X,RT_IMU9_Gyro_Y,RT_IMU9_Gyro_Z,RT_IMU9_Magn_X,RT_IMU9_Magn_Y,RT_IMU9_Magn_Z
8117,1720540480.845023,9.621883392333984,0.2536482512950897,0.6412993669509888,2.0999999046325684,-2.7300000190734863,-3.220000028610229,116.6470947265625,-3.885334730148315,51.52011489868164,9.746315002441406,-1.1653462648391724,-0.7513731122016907,2.6600000858306885,-3.990000009536743,-1.8899999856948853,66.72786712646484,16.106626510620117,78.24871826171875,9.753493309020996,-0.2297191768884658,-1.462066888809204,2.940000057220459,0.7699999809265137,-2.240000009536743,19.36091041564941,-121.1451644897461,46.80605697631836,9.600347518920898,0.5910483002662659,-1.2514909505844116,2.6600000858306885,-5.039999961853027,0.3499999940395355,85.115234375,-26.56756591796875,136.02764892578125,9.581204414367676,-0.8016242384910583,-1.3137065172195437,-0.699999988079071,0.1400000005960464,-0.8400000333786011,57.62560272216797,-52.813026428222656,-190.44760131835935
8118,1720540480.819454,9.61949062347412,0.2201475501060485,0.6700142621994019,8.539999961853027,-3.640000104904175,-2.6600000858306885,119.34263610839844,-5.941953659057617,50.99729919433594,9.813316345214844,-1.229954719543457,-0.8183745741844177,2.5199999809265137,-3.7799999713897705,-1.6100000143051147,67.0404052734375,14.213933944702148,79.45316314697266,9.631455421447754,-0.2560411691665649,-1.4429235458374023,3.7799999713897705,0.3499999940395355,-2.240000009536743,20.45323371887207,-122.3494873046875,50.08990097045898,9.55727481842041,0.5192610621452332,-1.2323477268218994,3.7100000381469727,-4.619999885559082,0.5600000023841858,83.82975769042969,-26.3654899597168,134.67022705078125,9.55727481842041,-0.8494823575019836,-1.2443121671676636,1.0499999523162842,0.0,-0.8400000333786011,57.083980560302734,-50.33021545410156,-190.0038604736328
8119,1720540480.81948,9.629061698913574,0.1531461179256439,0.5192610621452332,12.109999656677246,-3.990000009536743,-2.309999942779541,115.40477752685548,-7.153799057006836,48.70607376098633,9.784601211547852,-1.318492412567139,-0.7394086122512817,3.3600001335144043,-3.7799999713897705,-1.399999976158142,65.47874450683594,14.996213912963867,78.34062194824219,9.559667587280272,-0.2273262739181518,-1.5338541269302368,4.619999885559082,-0.1400000005960464,-2.0999999046325684,18.492477416992188,-121.7734375,48.24254608154297,9.571632385253906,0.4522596299648285,-1.179703712463379,4.130000114440918,-4.269999980926514,0.4900000095367431,83.19304656982422,-24.94304847717285,133.80516052246094,9.485487937927246,-0.7609447836875916,-1.1868823766708374,2.940000057220459,-0.4900000095367431,-0.9100000262260436,58.257286071777344,-49.99633026123047,-189.6721649169922
8120,1720540480.8195038,9.61949062347412,0.0717872455716133,0.3589362204074859,11.899999618530272,-4.269999980926514,-2.450000047683716,116.49549865722656,-4.95759916305542,48.52733612060547,9.703242301940918,-1.3328498601913452,-0.7226582169532776,4.900000095367432,-3.920000076293945,-1.399999976158142,67.22457885742188,15.494060516357422,78.41717529296875,9.590775489807127,-0.1268241256475448,-1.5290682315826416,5.110000133514404,-1.1200000047683716,-1.75,19.12240600585937,-120.5570297241211,48.173583984375,9.523774147033691,0.3756865561008453,-1.229954719543457,4.480000019073486,-3.849999904632568,0.0700000002980232,85.5311050415039,-23.71752166748047,136.53009033203125,9.459165573120115,-0.6317277550697327,-1.304134964942932,4.340000152587891,-1.190000057220459,-0.7699999809265137,58.175437927246094,-52.09427261352539,-189.0622100830078
8121,1720540480.8451447,9.765458106994627,0.1627177447080612,0.3924369215965271,10.779999732971191,-4.269999980926514,-2.7300000190734863,119.70316314697266,-6.7841901779174805,52.10725784301758,9.729564666748049,-1.3256710767745972,-0.7561589479446411,6.440000057220459,-3.920000076293945,-1.3300000429153442,68.63724517822266,15.799551010131836,79.72354125976562,9.727170944213867,-0.1435744911432266,-1.4812101125717163,5.179999828338623,-2.0299999713897705,-1.5399999618530271,21.88267517089844,-119.40018463134766,51.16387939453125,9.617097854614258,0.3852581977844238,-1.2036327123641968,4.480000019073486,-3.150000095367432,-0.4900000095367431,83.0757064819336,-25.16875457763672,135.3079833984375,9.502238273620604,-0.569512128829956,-1.277812957763672,4.690000057220459,-1.75,-0.4900000095367431,56.04595947265625,-51.47496795654297,-189.7792816162109
8122,1720540480.8195288,9.73195743560791,0.260826975107193,0.4211518168449402,11.619999885559082,-4.619999885559082,-2.0999999046325684,117.70516204833984,-5.936203956604004,50.30835723876953,9.724778175354004,-1.2945632934570312,-0.7753022313117981,7.490000247955322,-3.990000009536743,-1.1200000047683716,66.39427947998047,15.634393692016602,78.30742645263672,9.700849533081056,-0.1746822893619537,-1.3448143005371094,5.039999961853027,-2.870000123977661,-1.4700000286102295,19.47647476196289,-123.00054931640624,48.29880142211914,9.600347518920898,0.3756865561008453,-1.1988469362258911,3.7100000381469727,-2.450000047683716,-1.190000057220459,83.9180679321289,-22.66627311706543,135.04501342773438,9.542917251586914,-0.5623334050178528,-1.2347406148910522,5.110000133514404,-2.0299999713897705,-0.0700000002980232,54.153350830078125,-48.52408599853516,-191.48648071289065
8123,1720540480.8196018,9.84203052520752,0.3924369215965271,0.4857603311538696,10.850000381469728,-5.320000171661377,-2.0299999713897705,117.3215103149414,-4.819051265716553,49.667850494384766,9.765458106994627,-1.237133502960205,-0.8207674622535706,7.909999847412109,-3.990000009536743,-0.9100000262260436,68.23989868164062,17.193601608276367,79.83313751220703,9.674527168273926,-0.1196454018354415,-1.2706341743469238,5.039999961853027,-3.640000104904175,-1.190000057220459,20.095664978027344,-123.1065444946289,48.27586364746094,9.609918594360352,0.363722026348114,-1.1605603694915771,3.289999961853028,-1.8899999856948853,-1.75,83.32965850830078,-24.433502197265625,134.03475952148438,9.633848190307615,-0.6748000979423523,-1.131845474243164,5.670000076293945,-2.0999999046325684,0.2800000011920929,53.99187088012695,-50.35900115966797,-192.09103393554688
8124,1720540480.819626,9.837244987487791,0.3278284072875976,0.3302213251590729,9.380000114440918,-5.460000038146973,-2.0999999046325684,115.8249282836914,-4.582637786865234,48.177734375,9.753493309020996,-1.2514909505844116,-0.7298369407653809,8.399999618530273,-3.990000009536743,-0.6299999952316284,68.2132797241211,14.26794147491455,78.61376190185547,9.708027839660645,-0.0191432647407054,-1.1677391529083252,4.130000114440918,-4.409999847412109,-0.7699999809265137,20.84893798828125,-120.82381439208984,50.35770034790039,9.61949062347412,0.4450809061527252,-1.1653462648391724,3.0799999237060547,-1.2599999904632568,-2.0999999046325684,84.91487121582031,-25.210826873779297,135.84893798828125,9.66256332397461,-0.7250511646270752,-1.0552724599838257,5.880000114440918,-2.380000114440918,0.3499999940395355,56.39413833618164,-50.23908996582031,-192.08587646484372
8125,1720540480.8452668,9.801351547241213,0.3948298394680023,0.2632198929786682,7.840000152587891,-5.389999866485596,-1.8899999856948853,115.1410903930664,-3.6509041786193848,49.74934005737305,9.753493309020996,-1.3687434196472168,-0.7059078812599182,9.449999809265137,-4.340000152587891,-0.4900000095367431,66.87860870361328,16.619144439697266,78.89930725097656,9.863567352294922,0.0191432647407054,-1.1055235862731934,2.7300000190734863,-4.96999979019165,-0.699999988079071,20.42629623413086,-121.0350112915039,48.921234130859375,9.562060356140137,0.4379021823406219,-1.179703712463379,3.220000028610229,-0.9800000190734864,-2.450000047683716,84.52519226074219,-25.41507911682129,135.39479064941406,9.63624095916748,-0.7394086122512817,-1.1749178171157837,5.740000247955322,-2.380000114440918,0.1400000005960464,53.95582962036133,-53.2866439819336,-193.591064453125
8126,1720540480.819649,9.846817016601562,0.4211518168449402,0.2153617292642593,8.75,-6.579999923706055,-1.190000057220459,118.4104461669922,-4.70393705368042,52.484676361083984,9.760672569274902,-1.3304568529129028,-0.6436922550201416,9.380000114440918,-4.619999885559082,-0.6299999952316284,68.231689453125,13.99203395843506,78.00398254394531,9.93774700164795,-0.067001424729824,-1.0074143409729004,1.1200000047683716,-4.480000019073486,-0.8400000333786011,22.190074920654297,-121.57373809814452,51.0568962097168,9.595561027526855,0.6293348073959351,-1.072022795677185,3.0799999237060547,-1.0499999523162842,-2.5899999141693115,87.3663101196289,-27.720842361450195,138.05111694335938,9.667348861694336,-0.7800880670547485,-1.263455510139465,4.760000228881836,-2.1700000762939453,0.0700000002980232,55.0444450378418,-48.93140411376953,-190.7235412597656
