relative_id,timestamp,CHS_IMU9_Acc_X,CHS_IMU9_Acc_Y,CHS_IMU9_Acc_Z,CHS_IMU9_Gyro_X,CHS_IMU9_Gyro_Y,CHS_IMU9_Gyro_Z,CHS_IMU9_Magn_X,CHS_IMU9_Magn_Y,CHS_IMU9_Magn_Z,RU_IMU9_Acc_X,RU_IMU9_Acc_Y,RU_IMU9_Acc_Z,RU_IMU9_Gyro_X,RU_IMU9_Gyro_Y,RU_IMU9_Gyro_Z,RU_IMU9_Magn_X,RU_IMU9_Magn_Y,RU_IMU9_Magn_Z,LU_IMU9_Acc_X,LU_IMU9_Acc_Y,LU_IMU9_Acc_Z,LU_IMU9_Gyro_X,LU_IMU9_Gyro_Y,LU_IMU9_Gyro_Z,LU_IMU9_Magn_X,LU_IMU9_Magn_Y,LU_IMU9_Magn_Z,RF_IMU9_Acc_X,RF_IMU9_Acc_Y,RF_IMU9_Acc_Z,RF_IMU9_Gyro_X,RF_IMU9_Gyro_Y,RF_IMU9_Gyro_Z,RF_IMU9_Magn_X,RF_IMU9_Magn_Y,RF_IMU9_Magn_Z,LF_IMU9_Acc_X,LF_IMU9_Acc_Y,LF_IMU9_Acc_Z,LF_IMU9_Gyro_X,LF_IMU9_Gyro_Y,LF_IMU9_Gyro_Z,LF_IMU9_Magn_X,LF_IMU9_Magn_Y,LF_IMU9_Magn_Z,WAS_IMU9_Acc_X,WAS_IMU9_Acc_Y,WAS_IMU9_Acc_Z,WAS_IMU9_Gyro_X,WAS_IMU9_Gyro_Y,WAS_IMU9_Gyro_Z,WAS_IMU9_Magn_X,WAS_IMU9_Magn_Y,WAS_IMU9_Magn_Z,RT_IMU9_Acc_X,RT_IMU9_Acc_Y,RT_IMU9_Acc_Z,RT_IMU9_Gyro_X,RT_IMU9_Gyro_Y,RT_IMU9_Gyro_Z,RT_IMU9_Magn_X,RT_IMU9_Magn_Y,RT_IMU9_Magn_Z,LT_IMU9_Acc_X,LT_IMU9_Acc_Y,LT_IMU9_Acc_Z,LT_IMU9_Gyro_X,LT_IMU9_Gyro_Y,LT_IMU9_Gyro_Z,LT_IMU9_Magn_X,LT_IMU9_Magn_Y,LT_IMU9_Magn_Z,RC_IMU9_Acc_X,RC_IMU9_Acc_Y,RC_IMU9_Acc_Z,RC_IMU9_Gyro_X,RC_IMU9_Gyro_Y,RC_IMU9_Gyro_Z,RC_IMU9_Magn_X,RC_IMU9_Magn_Y,RC_IMU9_Magn_Z,LC_IMU9_Acc_X,LC_IMU9_Acc_Y,LC_IMU9_Acc_Z,LC_IMU9_Gyro_X,LC_IMU9_Gyro_Y,LC_IMU9_Gyro_Z,LC_IMU9_Magn_X,LC_IMU9_Magn_Y,LC_IMU9_Magn_Z
0,0.0,9.349091529846191,-3.182567834854126,1.4812101125717163,1.2599999904632568,-2.380000114440918,-0.1400000005960464,167.95997619628906,-227.8549652099609,171.1458282470703,9.865960121154783,0.6508709788322449,-0.5168681740760803,-0.9800000190734864,-0.6299999952316284,0.9800000190734864,156.85643005371094,-80.90235137939453,-171.41893005371094,9.813316345214844,-0.2153617292642593,1.7085363864898682,-2.7300000190734863,-1.680000066757202,1.9600000381469729,123.9858856201172,-210.759506225586,112.9292449951172,9.140909194946287,-3.366821765899658,-1.56256902217865,-0.6299999952316284,-1.820000052452088,-1.399999976158142,55.95000076293945,22.200000762939453,-19.5,9.294054985046388,3.077279806137085,-0.4929390549659729,-1.4700000286102295,-0.1400000005960464,0.699999988079071,61.75718688964844,-131.26307678222656,111.5971450805664,9.820494651794434,0.1603248417377472,0.0861446931958198,-1.399999976158142,-1.3300000429153442,-0.2800000011920929,117.02263641357422,-3.6840548515319824,51.55327224731445,9.56684684753418,-0.8111958503723145,-1.3854937553405762,-1.6100000143051147,-0.9100000262260436,-0.4900000095367431,56.31272506713867,-52.057159423828125,-190.3048248291016,9.751100540161133,-0.1890397369861602,-1.356778860092163,-0.3499999940395355,-2.0299999713897705,-1.2599999904632568,22.587852478027344,-122.68792724609376,52.1183967590332,9.676919937133787,-1.3807079792022705,-0.9715206623077391,4.690000057220459,-2.450000047683716,-0.0700000002980232,64.76918029785156,14.042827606201172,77.195068359375,9.588382720947266,0.461831271648407,-1.217990159988403,2.0299999713897705,-4.199999809265137,-0.3499999940395355,85.33280944824219,-25.00062561035156,137.14508056640625
1,0.0192307692307692,9.30601978302002,-3.139495372772217,1.4812101125717163,1.75,-2.0999999046325684,-0.2100000083446502,165.28109741210938,-227.674545288086,170.21444702148438,9.849209785461426,0.6389064788818359,-0.5264397859573364,-1.0499999523162842,-0.4200000166893005,0.9800000190734864,157.8651885986328,-85.32408905029297,-172.20950317382812,9.83485221862793,-0.184253916144371,1.6654640436172483,-1.75,-1.820000052452088,2.1700000762939453,122.89573669433594,-207.675048828125,111.66090393066406,9.143301963806152,-3.3548572063446045,-1.4907817840576172,-1.0499999523162842,-1.8899999856948853,-1.4700000286102295,54.150001525878906,21.450000762939453,-19.950000762939453,9.31319808959961,3.1323165893554688,-0.5025107264518738,-1.8899999856948853,-0.4200000166893005,0.9100000262260436,62.24654769897461,-134.5174560546875,112.27864837646484,9.770243644714355,0.2680056989192962,0.1148595884442329,-0.699999988079071,-1.6100000143051147,0.0,117.8670654296875,-3.82141375541687,52.08401107788086,9.593168258666992,-0.8040171265602112,-1.3783150911331177,-1.3300000429153442,-1.0499999523162842,-0.5600000023841858,55.59210205078125,-50.092811584472656,-191.3536376953125,9.751100540161133,-0.1603248417377472,-1.3783150911331177,-0.3499999940395355,-2.0299999713897705,-1.399999976158142,22.16356658935547,-119.97940063476562,51.05932235717773,9.77263641357422,-1.2132043838500977,-1.0480937957763672,6.019999980926514,-2.5199999809265137,-0.1400000005960464,66.8503189086914,16.132400512695312,81.89730072021484,9.600347518920898,0.4809745252132416,-1.1366313695907593,2.0999999046325684,-3.990000009536743,-0.4200000166893005,84.51535034179688,-25.696935653686523,133.9430389404297
2,0.0384615384615384,9.303627014160156,-3.1490671634674072,1.39745831489563,1.9600000381469729,-2.0299999713897705,0.0,164.42210388183594,-227.82003784179688,168.0916290283203,9.870745658874512,0.6221560835838318,-0.5360113978385925,-0.9800000190734864,-0.3499999940395355,0.9100000262260436,158.46092224121094,-81.39583587646484,-167.872314453125,9.846817016601562,-0.1459673941135406,1.6678569316864014,-1.190000057220459,-1.820000052452088,2.0999999046325684,122.61396026611328,-208.1363677978516,113.26324462890624,9.138516426086426,-3.426644325256348,-1.5482115745544434,-1.190000057220459,-1.820000052452088,-1.4700000286102295,56.400001525878906,20.55000114440918,-19.5,9.260554313659668,3.027028799057007,-0.49054616689682,-2.240000009536743,-0.4900000095367431,0.9800000190734864,60.83430862426758,-134.54307556152344,112.14338684082033,9.803744316101074,0.2703986167907715,0.1172524988651275,0.8400000333786011,-3.009999990463257,-0.0700000002980232,118.43695831298828,-6.298278331756592,52.48225021362305,9.545310020446776,-0.8327320218086243,-1.4142086505889893,-1.399999976158142,-1.1200000047683716,-0.4900000095367431,57.93343353271485,-54.70670700073242,-189.3834991455078,9.696063995361328,-0.1986113786697387,-1.404637098312378,0.4200000166893005,-1.8899999856948853,-1.399999976158142,19.94799423217773,-120.69835662841795,48.14300155639648,9.77263641357422,-1.3735291957855225,-1.0265575647354126,4.550000190734863,-2.0299999713897705,-0.4200000166893005,67.63188171386719,18.901865005493164,80.98114013671875,9.547703742980955,0.4809745252132416,-1.217990159988403,2.240000009536743,-3.990000009536743,-0.4900000095367431,83.83108520507812,-25.04507637023925,134.34353637695312
3,0.0576923076923076,9.30601978302002,-3.1658174991607666,1.454888105392456,1.9600000381469729,-2.0299999713897705,0.0,166.9630584716797,-229.8304138183593,169.12008666992188,9.83485221862793,0.5814766883850098,-0.5264397859573364,-0.6299999952316284,-0.3499999940395355,0.9100000262260436,161.1165771484375,-85.82135009765625,-167.69329833984375,9.81092357635498,-0.1076808646321296,1.718108057975769,-1.190000057220459,-1.820000052452088,1.9600000381469729,124.07198333740234,-209.42124938964844,115.12850189208984,9.112194061279297,-3.3907508850097656,-1.5506044626235962,-0.5600000023841858,-1.8899999856948853,-1.5399999618530271,53.70000076293945,22.5,-22.05000114440918,9.315590858459473,3.043779134750366,-0.5264397859573364,-1.5399999618530271,-0.3499999940395355,0.9100000262260436,62.01835250854492,-132.8867950439453,112.4290542602539,9.820494651794434,0.1938255578279495,0.1770751923322677,0.7699999809265137,-3.0799999237060547,-0.1400000005960464,116.42820739746094,-6.772690773010254,50.729373931884766,9.528559684753418,-0.7944455146789551,-1.4189945459365845,-1.190000057220459,-0.9800000190734864,-0.5600000023841858,55.72475051879883,-53.54451370239258,-190.1439819335937,9.719992637634276,-0.2033971846103668,-1.4094228744506836,0.8400000333786011,-1.8899999856948853,-1.2599999904632568,19.81563377380371,-121.96758270263672,50.72261428833008,9.751100540161133,-1.3807079792022705,-0.9858781099319458,3.7100000381469727,-1.9600000381469729,-1.0499999523162842,65.88386535644531,16.52385902404785,78.88907623291016,9.602740287780762,0.4833674430847168,-1.1533817052841189,2.5899999141693115,-4.059999942779541,-0.6299999952316284,83.88245391845703,-25.31404495239257,134.71607971191406
4,0.0769230769230769,9.36584186553955,-3.139495372772217,1.4955675601959229,2.240000009536743,-2.0299999713897705,-0.1400000005960464,164.90765380859375,-230.03488159179688,167.135009765625,9.820494651794434,0.6412993669509888,-0.5766908526420593,0.1400000005960464,-0.4900000095367431,0.7699999809265137,157.69996643066406,-82.08025360107422,-169.39041137695312,9.82767391204834,-0.1698964685201645,1.706143498420715,-1.1200000047683716,-1.9600000381469729,1.820000052452088,121.04801940917967,-207.07521057128903,113.18147277832033,9.167230606079102,-3.378786325454712,-1.543425679206848,-0.2100000083446502,-1.8899999856948853,-1.680000066757202,54.30000305175781,21.0,-18.900001525878903,9.298840522766112,3.043779134750366,-0.4857603311538696,-0.6299999952316284,-0.2800000011920929,0.7699999809265137,63.207427978515625,-135.4696502685547,112.80435180664062,9.775029182434082,0.1651106625795364,0.12921704351902,0.7699999809265137,-2.940000057220459,-0.4200000166893005,116.42820739746094,-6.772690773010254,50.729373931884766,9.571632385253906,-0.8016242384910583,-1.3759222030639648,-1.2599999904632568,-0.9100000262260436,-0.699999988079071,54.074466705322266,-52.22132110595703,-191.58059692382807,9.719992637634276,-0.1316099464893341,-1.4453164339065552,0.8400000333786011,-2.309999942779541,-1.190000057220459,21.02532768249512,-122.46539306640624,48.663665771484375,9.741528511047363,-1.3519930839538574,-0.8805902004241943,2.799999952316284,-2.799999952316284,-1.680000066757202,66.40840911865234,15.637367248535156,78.72842407226562,9.595561027526855,0.4044014811515808,-1.2610626220703125,2.7300000190734863,-3.849999904632568,-0.699999988079071,84.04305267333984,-24.51966857910156,136.81842041015625
5,0.0961538461538461,9.377806663513184,-3.1323165893554688,1.4572809934616089,2.309999942779541,-2.0999999046325684,-0.3499999940395355,165.1500701904297,-227.1425628662109,168.6273956298828,9.832459449768066,0.6939433217048645,-0.569512128829956,0.1400000005960464,-0.4900000095367431,0.6299999952316284,159.30612182617188,-85.01264953613281,-170.0611572265625,9.81810188293457,-0.1962184607982635,1.739644169807434,-0.9800000190734864,-1.8899999856948853,1.75,124.7840805053711,-210.34703063964844,114.3988800048828,9.138516426086426,-3.362035751342773,-1.5649619102478027,0.4200000166893005,-1.9600000381469729,-1.8899999856948853,55.05000305175781,20.700000762939453,-19.200000762939453,9.31319808959961,3.1155662536621094,-0.5001177787780762,-0.2800000011920929,-0.0700000002980232,0.9100000262260436,61.81709671020508,-132.5706024169922,113.74812316894533,9.81092357635498,0.181861013174057,0.1411815732717514,1.2599999904632568,-3.0799999237060547,-0.4200000166893005,116.55200958251952,-4.945703506469727,50.21129608154297,9.58359718322754,-0.7848738431930542,-1.3160994052886963,-1.399999976158142,-0.9800000190734864,-0.7699999809265137,54.97629928588867,-51.306243896484375,-190.8636932373047,9.753493309020996,-0.0574297942221164,-1.4596738815307615,0.1400000005960464,-2.7300000190734863,-1.2599999904632568,21.389354705810547,-120.10704803466795,51.462440490722656,9.770243644714355,-1.32806396484375,-0.8686256408691406,2.6600000858306885,-2.7300000190734863,-1.680000066757202,66.65422821044922,17.210256576538086,80.68782043457031,9.571632385253906,0.5766908526420593,-1.1892752647399902,3.009999990463257,-3.7799999713897705,-0.8400000333786011,83.9176025390625,-23.426944732666016,137.71389770507812
6,0.1153846153846153,9.35866355895996,-3.1586387157440186,1.4142086505889893,2.450000047683716,-1.8899999856948853,-0.2800000011920929,165.75086975097656,-226.97265625,169.2142333984375,9.863567352294922,0.7011220455169678,-0.5790837407112122,-0.3499999940395355,-0.3499999940395355,0.8400000333786011,160.64134216308594,-82.56398010253906,-167.9538116455078,9.798958778381348,-0.1938255578279495,1.718108057975769,-0.7699999809265137,-1.820000052452088,1.8899999856948853,122.56082916259766,-209.4676818847656,112.04630279541016,9.172017097473145,-3.3476784229278564,-1.541032791137695,0.4900000095367431,-2.0299999713897705,-1.9600000381469729,55.50000381469727,23.100000381469727,-20.850000381469727,9.31319808959961,3.129923820495605,-0.5455830693244934,-0.5600000023841858,0.0,1.190000057220459,59.428985595703125,-132.2067413330078,110.323974609375,9.798958778381348,0.2249333560466766,0.1172524988651275,1.399999976158142,-3.3600001335144043,-0.4900000095367431,117.1519012451172,-5.816332340240479,52.2959213256836,9.595561027526855,-0.758551836013794,-1.3926725387573242,-1.680000066757202,-0.8400000333786011,-0.6299999952316284,57.76560974121094,-53.62290573120117,-189.75099182128903,9.75588607788086,-0.2249333560466766,-1.3902796506881714,-0.2800000011920929,-2.1700000762939453,-1.2599999904632568,22.5009765625,-120.54672241210938,52.63872528076172,9.765458106994627,-1.32806396484375,-0.8614469170570374,2.380000114440918,-2.799999952316284,-1.680000066757202,66.2747573852539,13.528524398803713,77.79474639892578,9.58359718322754,0.5001177787780762,-1.177310824394226,2.309999942779541,-3.7100000381469727,-0.8400000333786011,82.88946533203125,-23.80904197692871,135.55026245117188
7,0.1346153846153846,9.351485252380373,-3.1586387157440186,1.4812101125717163,2.6600000858306885,-1.75,-0.2800000011920929,163.93185424804688,-225.606201171875,168.90789794921875,9.90424633026123,0.708300769329071,-0.5455830693244934,-0.699999988079071,-0.3499999940395355,0.8400000333786011,159.6320343017578,-82.9421157836914,-169.55612182617188,9.79417324066162,-0.1340028494596481,1.6487137079238892,-0.4900000095367431,-1.8899999856948853,2.0299999713897705,122.71760559082033,-207.63375854492188,112.51052856445312,9.162445068359377,-3.3213565349578857,-1.555390238761902,0.0700000002980232,-1.8899999856948853,-1.820000052452088,54.60000228881836,21.450000762939453,-20.25,9.282090187072754,3.1012089252471924,-0.5431901216506958,-0.699999988079071,0.0,1.190000057220459,60.78425216674805,-132.9536895751953,111.44416046142578,9.784601211547852,0.2632198929786682,0.105287954211235,0.8400000333786011,-3.430000066757202,-0.3499999940395355,113.27059173583984,-6.53548526763916,47.84867477416992,9.617097854614258,-0.7633376717567444,-1.416601538658142,-1.680000066757202,-0.7699999809265137,-0.6299999952316284,54.599002838134766,-53.10781097412109,-191.7412567138672,9.74870777130127,-0.2010042816400528,-1.2849916219711304,0.699999988079071,-1.820000052452088,-1.1200000047683716,20.06694793701172,-123.87316131591795,50.10276412963867,9.7391357421875,-1.3639576435089111,-0.8279461860656738,2.309999942779541,-2.870000123977661,-1.5399999618530271,67.6458969116211,14.384839057922363,80.18032836914062,9.612311363220217,0.4379021823406219,-1.179703712463379,2.240000009536743,-3.640000104904175,-0.8400000333786011,86.37771606445312,-21.974720001220703,139.07632446289062
8,0.1538461538461538,9.36584186553955,-3.1251380443573,1.49317467212677,2.7300000190734863,-1.399999976158142,-0.3499999940395355,168.34275817871094,-229.5318756103516,169.4441375732422,9.865960121154783,0.7154794931411743,-0.5384043455123901,-0.7699999809265137,-0.3499999940395355,0.8400000333786011,158.04122924804688,-83.20632934570312,-170.0128631591797,9.839637756347656,-0.1076808646321296,1.7300724983215332,-0.0700000002980232,-1.9600000381469729,2.1700000762939453,123.06224822998048,-210.07925415039065,112.35508728027344,9.212696075439451,-3.330928087234497,-1.5984625816345217,-0.2100000083446502,-1.75,-1.680000066757202,54.900001525878906,23.100000381469727,-20.25,9.291662216186523,3.036600351333618,-0.5264397859573364,-0.3499999940395355,-0.0700000002980232,0.9100000262260436,61.253562927246094,-133.012451171875,113.11283111572266,9.801351547241213,0.260826975107193,0.0741801485419273,0.4200000166893005,-3.7799999713897705,-0.3499999940395355,114.34803771972656,-3.7825136184692383,49.59113693237305,9.585989952087402,-0.766927033662796,-1.4082263708114624,-1.6100000143051143,-0.7699999809265137,-0.6649999916553497,54.63175582885742,-53.24080657958984,-191.3444976806641,9.767850875854492,-0.1148595884442329,-1.4070299863815308,0.4900000095367431,-2.380000114440918,-1.3300000429153442,21.62094116210937,-123.05713653564452,51.779052734375,9.746315002441406,-1.3304568529129028,-0.8662327527999878,2.5899999141693115,-2.870000123977661,-1.399999976158142,65.70101928710938,16.564146041870117,79.59837341308594,9.600347518920898,0.5312256217002869,-1.2132043838500977,2.870000123977661,-3.569999933242798,-1.0499999523162842,82.34477233886719,-24.24693489074707,135.47628784179688
9,0.173076923076923,9.361056327819824,-3.1586387157440186,1.4524952173233032,2.5899999141693115,-1.0499999523162842,-0.2100000083446502,164.4362335205078,-227.8170623779297,168.5126190185547,9.84203052520752,0.6724071502685547,-0.5527617931365967,-0.9100000262260436,-0.3499999940395355,0.9100000262260436,155.35086059570312,-80.38804626464844,-172.0186004638672,9.873138427734377,-0.1196454018354415,1.6870001554489136,-0.0700000002980232,-1.8899999856948853,2.0299999713897705,122.44216918945312,-211.0138092041016,113.87580871582033,9.136122703552246,-3.366821765899658,-1.557783126831055,-0.2800000011920929,-1.820000052452088,-1.75,55.650001525878906,22.05000114440918,-20.700000762939453,9.291662216186523,3.0940301418304443,-0.521653950214386,0.3499999940395355,0.0,0.6299999952316284,63.65833282470703,-135.25250244140625,115.08279418945312,9.789386749267578,0.2345049977302551,0.0837517827749252,0.3499999940395355,-3.920000076293945,-0.4200000166893005,114.3197784423828,-3.788461446762085,48.7491569519043,9.554882049560549,-0.7705163955688477,-1.3998512029647827,-1.5399999618530271,-0.7699999809265137,-0.699999988079071,54.66450881958008,-53.373802185058594,-190.9477386474609,9.743921279907228,-0.1651106625795364,-1.359171748161316,-0.2100000083446502,-2.309999942779541,-1.5399999618530271,20.273025512695312,-119.6683578491211,50.14582443237305,9.777422904968262,-1.2610626220703125,-0.8518753051757812,2.7300000190734863,-2.870000123977661,-1.6100000143051147,67.72171020507812,15.161369323730469,79.75672912597656,9.595561027526855,0.5551546812057495,-1.179703712463379,2.799999952316284,-3.569999933242798,-0.8400000333786011,84.52519226074219,-25.41507911682129,135.39479064941406
