relative_id,timestamp,CHS_IMU9_Acc_X,CHS_IMU9_Acc_Y,CHS_IMU9_Acc_Z,CHS_IMU9_Gyro_X,CHS_IMU9_Gyro_Y,CHS_IMU9_Gyro_Z,CHS_IMU9_Magn_X,CHS_IMU9_Magn_Y,CHS_IMU9_Magn_Z,RF_IMU9_Acc_X,RF_IMU9_Acc_Y,RF_IMU9_Acc_Z,RF_IMU9_Gyro_X,RF_IMU9_Gyro_Y,RF_IMU9_Gyro_Z,RF_IMU9_Magn_X,RF_IMU9_Magn_Y,RF_IMU9_Magn_Z,LF_IMU9_Acc_X,LF_IMU9_Acc_Y,LF_IMU9_Acc_Z,LF_IMU9_Gyro_X,LF_IMU9_Gyro_Y,LF_IMU9_Gyro_Z,LF_IMU9_Magn_X,LF_IMU9_Magn_Y,LF_IMU9_Magn_Z,RU_IMU9_Acc_X,RU_IMU9_Acc_Y,RU_IMU9_Acc_Z,RU_IMU9_Gyro_X,RU_IMU9_Gyro_Y,RU_IMU9_Gyro_Z,RU_IMU9_Magn_X,RU_IMU9_Magn_Y,RU_IMU9_Magn_Z,LU_IMU9_Acc_X,LU_IMU9_Acc_Y,LU_IMU9_Acc_Z,LU_IMU9_Gyro_X,LU_IMU9_Gyro_Y,LU_IMU9_Gyro_Z,LU_IMU9_Magn_X,LU_IMU9_Magn_Y,LU_IMU9_Magn_Z
8001,1720540477.886167,9.377806663513184,-3.1323165893554688,1.4572809934616089,2.309999942779541,-2.0999999046325684,-0.3499999940395355,165.1500701904297,-227.1425628662109,168.6273956298828,9.138516426086426,-3.362035751342773,-1.5649619102478027,0.4200000166893005,-1.9600000381469729,-1.8899999856948853,55.05000305175781,20.700000762939453,-19.200000762939453,9.31319808959961,3.1155662536621094,-0.5001177787780762,-0.2800000011920929,-0.0700000002980232,0.9100000262260436,61.81709671020508,-132.5706024169922,113.74812316894533,9.832459449768066,0.6939433217048645,-0.569512128829956,0.1400000005960464,-0.4900000095367431,0.6299999952316284,159.30612182617188,-85.01264953613281,-170.0611572265625,9.81810188293457,-0.1962184607982635,1.739644169807434,-0.9800000190734864,-1.8899999856948853,1.75,124.7840805053711,-210.34703063964844,114.3988800048828
8002,1720540480.5899858,9.35866355895996,-3.1586387157440186,1.4142086505889893,2.450000047683716,-1.8899999856948853,-0.2800000011920929,165.75086975097656,-226.97265625,169.2142333984375,9.172017097473145,-3.3476784229278564,-1.541032791137695,0.4900000095367431,-2.0299999713897705,-1.9600000381469729,55.50000381469727,23.100000381469727,-20.850000381469727,9.31319808959961,3.129923820495605,-0.5455830693244934,-0.5600000023841858,0.0,1.190000057220459,59.428985595703125,-132.2067413330078,110.323974609375,9.863567352294922,0.7011220455169678,-0.5790837407112122,-0.3499999940395355,-0.3499999940395355,0.8400000333786011,160.64134216308594,-82.56398010253906,-167.9538116455078,9.798958778381348,-0.1938255578279495,1.718108057975769,-0.7699999809265137,-1.8200000524520876,1.8899999856948853,122.56082916259766,-209.4676818847656,112.04630279541016
8003,1720540480.5902498,9.351485252380373,-3.1586387157440186,1.4812101125717163,2.6600000858306885,-1.75,-0.2800000011920929,163.93185424804688,-225.606201171875,168.90789794921875,9.162445068359377,-3.3213565349578857,-1.555390238761902,0.0700000002980232,-1.8899999856948853,-1.8200000524520876,54.60000228881836,21.450000762939453,-20.25,9.282090187072754,3.1012089252471924,-0.5431901216506958,-0.699999988079071,0.0,1.190000057220459,60.78425216674805,-132.9536895751953,111.44416046142578,9.90424633026123,0.708300769329071,-0.5455830693244934,-0.699999988079071,-0.3499999940395355,0.8400000333786011,159.6320343017578,-82.9421157836914,-169.55612182617188,9.79417324066162,-0.1340028494596481,1.6487137079238892,-0.4900000095367431,-1.8899999856948853,2.0299999713897705,122.71760559082033,-207.63375854492188,112.51052856445312
8004,1720540480.5904078,9.36584186553955,-3.1251380443573,1.49317467212677,2.7300000190734863,-1.399999976158142,-0.3499999940395355,168.34275817871094,-229.5318756103516,169.4441375732422,9.212696075439451,-3.330928087234497,-1.5984625816345217,-0.2100000083446502,-1.75,-1.680000066757202,54.900001525878906,23.100000381469727,-20.25,9.291662216186523,3.036600351333618,-0.5264397859573364,-0.3499999940395355,-0.0700000002980232,0.9100000262260436,61.253562927246094,-133.012451171875,113.11283111572266,9.865960121154783,0.7154794931411743,-0.5384043455123901,-0.7699999809265137,-0.3499999940395355,0.8400000333786011,158.04122924804688,-83.20632934570312,-170.0128631591797,9.839637756347656,-0.1076808646321296,1.7300724983215332,-0.0700000002980232,-1.9600000381469729,2.1700000762939453,123.06224822998048,-210.07925415039065,112.35508728027344
8005,1720540480.6160488,9.361056327819824,-3.1586387157440186,1.4524952173233032,2.5899999141693115,-1.0499999523162842,-0.2100000083446502,164.4362335205078,-227.8170623779297,168.5126190185547,9.136122703552246,-3.366821765899658,-1.557783126831055,-0.2800000011920929,-1.8200000524520876,-1.75,55.650001525878906,22.05000114440918,-20.700000762939453,9.291662216186523,3.0940301418304443,-0.521653950214386,0.3499999940395355,0.0,0.6299999952316284,63.65833282470703,-135.25250244140625,115.08279418945312,9.84203052520752,0.6724071502685547,-0.5527617931365967,-0.9100000262260436,-0.3499999940395355,0.9100000262260436,155.35086059570312,-80.38804626464844,-172.0186004638672,9.873138427734377,-0.1196454018354415,1.6870001554489136,-0.0700000002980232,-1.8899999856948853,2.0299999713897705,122.44216918945312,-211.0138092041016,113.87580871582033
8006,1720540480.590211,9.341913223266602,-3.120352268218994,1.4668526649475098,2.6600000858306885,-0.9100000262260436,-0.3499999940395355,164.96250915527344,-227.103271484375,169.1963653564453,9.116979598999023,-3.342892646789551,-1.584105134010315,-0.1400000005960464,-1.6100000143051147,-1.75,55.20000076293945,23.100000381469727,-19.200000762939453,9.308412551879885,3.1155662536621094,-0.4833674430847168,0.7699999809265137,0.0700000002980232,0.5600000023841858,60.967960357666016,-132.43423461914062,113.07705688476562,9.846817016601562,0.7250511646270752,-0.5431901216506958,-0.9800000190734864,-0.3499999940395355,0.9100000262260436,158.242919921875,-83.2426528930664,-170.1608428955078,9.873138427734377,-0.105287954211235,1.7635732889175415,-0.5600000023841858,-1.9600000381469729,2.0299999713897705,124.48861694335938,-210.05067443847656,112.91134643554688
8007,1720540480.5906408,9.303627014160156,-3.120352268218994,1.4764243364334106,2.870000123977661,-0.6299999952316284,-0.4900000095367431,165.11325073242188,-226.5907440185547,169.84695434570312,9.167230606079102,-3.3141777515411377,-1.541032791137695,-0.2100000083446502,-1.6100000143051147,-1.680000066757202,55.95000076293945,21.30000114440918,-20.100000381469727,9.332341194152832,3.117959260940552,-0.5144752264022827,0.8400000333786011,-0.0700000002980232,0.699999988079071,62.05767059326172,-135.79856872558594,113.17430114746094,9.863567352294922,0.7250511646270752,-0.5838695764541626,-1.0499999523162842,-0.2100000083446502,1.0499999523162842,157.1034698486328,-82.529052734375,-171.0080108642578,9.885103225708008,-0.1100737750530242,1.718108057975769,-1.0499999523162842,-2.0299999713897705,1.75,122.29450225830078,-208.60562133789065,113.7429428100586
8008,1720540480.590587,9.308412551879885,-3.153852939605713,1.5075321197509766,3.0799999237060547,-0.4200000166893005,-0.4200000166893005,164.34156799316406,-228.5975646972656,168.37489318847656,9.174409866333008,-3.3213565349578857,-1.557783126831055,-0.3499999940395355,-1.5399999618530271,-1.8200000524520876,56.25000381469727,23.850000381469727,-19.5,9.315590858459473,3.1586387157440186,-0.4737958014011383,0.7699999809265137,-0.1400000005960464,0.699999988079071,61.20043182373047,-134.34378051757812,111.89588928222656,9.892282485961914,0.7848738431930542,-0.5503688454627991,-1.3300000429153442,-0.2800000011920929,1.190000057220459,158.77566528320312,-80.92756652832031,-168.4923553466797,9.873138427734377,-0.1459673941135406,1.7324655055999756,-1.399999976158142,-1.9600000381469729,1.6100000143051147,121.41842651367188,-207.15480041503903,111.90321350097656
8009,1720540480.616228,9.341913223266602,-3.161031484603882,1.4883887767791748,3.3600001335144043,-0.2800000011920929,-0.4200000166893005,163.69204711914062,-225.8576812744141,166.76214599609375,9.162445068359377,-3.295034408569336,-1.56256902217865,-0.7699999809265137,-1.6100000143051147,-1.8200000524520876,54.900001525878906,22.200000762939453,-20.25,9.31319808959961,3.1729960441589355,-0.5360113978385925,0.1400000005960464,-0.2100000083446502,0.8400000333786011,60.967960357666016,-132.43423461914062,113.07705688476562,9.887495994567873,0.7130866050720215,-0.5384043455123901,-1.4700000286102295,-0.1400000005960464,1.1200000047683716,158.2266082763672,-85.12578582763672,-172.5973358154297,9.806137084960938,-0.102895051240921,1.7348583936691284,-1.5399999618530271,-2.0999999046325684,1.6100000143051147,123.08405303955078,-211.67459106445312,112.21232604980467
8010,1720540480.5904918,9.325162887573242,-3.139495372772217,1.4429235458374023,3.3600001335144043,-0.1400000005960464,-0.4200000166893005,165.83773803710938,-229.1138458251953,168.69390869140625,9.14808750152588,-3.369214534759521,-1.5123178958892822,-0.7699999809265137,-1.8899999856948853,-1.6100000143051147,55.80000305175781,23.400001525878903,-19.80000114440918,9.310805320739746,3.146674156188965,-0.466617077589035,-0.2800000011920929,-0.1400000005960464,0.8400000333786011,60.424583435058594,-131.5517120361328,112.67639923095705,9.86117458343506,0.6604426503181458,-0.540797233581543,-1.4700000286102295,-0.1400000005960464,0.9800000190734864,158.07212829589844,-80.5595474243164,-169.8242645263672,9.81810188293457,-0.1124666780233383,1.689393162727356,-1.75,-2.0999999046325684,1.6100000143051147,121.73524475097656,-209.3263702392578,112.0768814086914
