relative_id,timestamp,0C:8C:DC:1B:73:60_IMU9_Acc_X,0C:8C:DC:1B:73:60_IMU9_Acc_Y,0C:8C:DC:1B:73:60_IMU9_Acc_Z,0C:8C:DC:1B:73:60_IMU9_Gyro_X,0C:8C:DC:1B:73:60_IMU9_Gyro_Y,0C:8C:DC:1B:73:60_IMU9_Gyro_Z,0C:8C:DC:1B:73:60_IMU9_Magn_X,0C:8C:DC:1B:73:60_IMU9_Magn_Y,0C:8C:DC:1B:73:60_IMU9_Magn_Z,0C:8C:DC:22:32:DC_IMU9_Acc_X,0C:8C:DC:22:32:DC_IMU9_Acc_Y,0C:8C:DC:22:32:DC_IMU9_Acc_Z,0C:8C:DC:22:32:DC_IMU9_Gyro_X,0C:8C:DC:22:32:DC_IMU9_Gyro_Y,0C:8C:DC:22:32:DC_IMU9_Gyro_Z,0C:8C:DC:22:32:DC_IMU9_Magn_X,0C:8C:DC:22:32:DC_IMU9_Magn_Y,0C:8C:DC:22:32:DC_IMU9_Magn_Z,0C:8C:DC:34:E8:FE_IMU9_Acc_X,0C:8C:DC:34:E8:FE_IMU9_Acc_Y,0C:8C:DC:34:E8:FE_IMU9_Acc_Z,0C:8C:DC:34:E8:FE_IMU9_Gyro_X,0C:8C:DC:34:E8:FE_IMU9_Gyro_Y,0C:8C:DC:34:E8:FE_IMU9_Gyro_Z,0C:8C:DC:34:E8:FE_IMU9_Magn_X,0C:8C:DC:34:E8:FE_IMU9_Magn_Y,0C:8C:DC:34:E8:FE_IMU9_Magn_Z,0C:8C:DC:34:E9:35_IMU9_Acc_X,0C:8C:DC:34:E9:35_IMU9_Acc_Y,0C:8C:DC:34:E9:35_IMU9_Acc_Z,0C:8C:DC:34:E9:35_IMU9_Gyro_X,0C:8C:DC:34:E9:35_IMU9_Gyro_Y,0C:8C:DC:34:E9:35_IMU9_Gyro_Z,0C:8C:DC:34:E9:35_IMU9_Magn_X,0C:8C:DC:34:E9:35_IMU9_Magn_Y,0C:8C:DC:34:E9:35_IMU9_Magn_Z,0C:8C:DC:36:0C:A2_IMU9_Acc_X,0C:8C:DC:36:0C:A2_IMU9_Acc_Y,0C:8C:DC:36:0C:A2_IMU9_Acc_Z,0C:8C:DC:36:0C:A2_IMU9_Gyro_X,0C:8C:DC:36:0C:A2_IMU9_Gyro_Y,0C:8C:DC:36:0C:A2_IMU9_Gyro_Z,0C:8C:DC:36:0C:A2_IMU9_Magn_X,0C:8C:DC:36:0C:A2_IMU9_Magn_Y,0C:8C:DC:36:0C:A2_IMU9_Magn_Z
4696,1720521196.477696,-0.0239290818572044,0.208183005452156,10.01671314239502,1.190000057220459,0.0,-0.4200000166893005,112.9718246459961,-210.0653381347656,123.78020477294922,2.924133777618408,-0.0382865294814109,-9.138516426086426,0.4200000166893005,-2.7300000190734863,-1.4700000286102295,34.05000305175781,18.30000114440918,43.80000305175781,2.2086541652679443,-2.617841482162476,-9.066728591918944,-1.1200000047683716,-0.9100000262260436,0.8400000333786011,22.64400291442871,-105.93262481689452,140.6015625,-4.833674430847168,-0.1579319387674331,-8.401500701904297,-1.8899999856948853,-1.1200000047683716,2.309999942779541,96.54458618164062,-90.00312042236328,-134.21722412109375,9.74870777130127,1.6774286031723022,-0.3230426013469696,14.699999809265137,0.4200000166893005,10.850000381469728,120.79255676269533,-199.88995361328125,112.2139129638672
4697,1720521196.5033371,9.83485221862793,-0.6460852026939392,0.3565433025360107,6.789999961853027,-4.760000228881836,-1.5399999618530271,166.08816528320312,-214.25982666015625,173.28794860839844,9.590775489807127,-3.0054924488067627,1.4357448816299438,-4.96999979019165,5.809999942779541,-8.260000228881836,56.25000381469727,27.150001525878903,-28.500001907348636,2.199082612991333,-2.622627258300781,-8.980584144592285,-1.5399999618530271,-1.0499999523162842,0.699999988079071,22.64400291442871,-105.93262481689452,140.6015625,-4.759494304656982,-0.1483602970838546,-8.444572448730469,-0.9800000190734864,-1.1200000047683716,2.1700000762939453,97.32393646240234,-89.59461212158203,-133.3089141845703,9.75588607788086,1.672642707824707,-0.260826975107193,21.6299991607666,0.9800000190734864,8.680000305175781,122.28311920166016,-201.44775390625,113.890380859375
4698,1720521196.528978,10.071749687194824,-0.648478090763092,0.9069121479988098,8.609999656677246,-8.539999961853027,-1.190000057220459,166.3018035888672,-216.17333984375,171.5454559326172,9.47830867767334,-3.08206558227539,1.4453164339065552,-5.670000076293945,5.740000247955322,-7.28000020980835,56.55000305175781,28.350000381469727,-28.200000762939453,2.1823322772979736,-2.601091146469116,-9.04519271850586,-2.7300000190734863,-1.190000057220459,0.6299999952316284,22.64400291442871,-105.93262481689452,140.6015625,9.624276161193848,-1.1270596981048584,1.5936768054962158,-8.960000038146973,6.300000190734863,-2.5199999809265137,156.46144104003906,-89.46588134765625,-183.3080596923828,9.708027839660645,1.821003079414368,-0.3613291084766388,27.3700008392334,0.7699999809265137,6.929999828338623,123.11002349853516,-200.2686767578125,113.53311157226562
4699,1720521217.5259368,10.153108596801758,-0.7035149931907654,0.5814766883850098,10.079999923706056,-6.650000095367432,-0.9100000262260436,165.99349975585938,-215.0403289794922,173.1502227783203,9.413700103759766,-3.110780477523804,1.4429235458374023,-5.039999961853027,5.039999961853027,-6.230000019073486,56.10000228881836,27.600000381469727,-27.600000381469727,9.614705085754396,1.8233959674835205,1.1342384815216064,1.5399999618530271,-9.449999809265137,21.420000076293945,22.64400291442871,-105.93262481689452,140.6015625,9.626668930053713,-1.2251689434051514,1.6319633722305298,-9.520000457763672,5.179999828338623,-3.150000095367432,157.9811553955078,-89.97721099853516,-182.2873992919922,9.81810188293457,2.014828681945801,-0.3661149442195892,31.56999969482422,-0.2800000011920929,6.019999980926514,120.98700714111328,-198.04808044433597,113.80078125
4700,1720521217.5515778,,,,,,,,,,,,,,,,,,,9.585989952087402,1.7324655055999756,1.237133502960205,9.730000495910645,-8.890000343322754,17.850000381469727,22.64400291442871,-105.93262481689452,140.6015625,9.751100540161133,-1.3998512029647827,1.746822953224182,-7.0,3.7100000381469727,-4.130000114440918,158.83071899414062,-89.83370971679688,-180.4452362060547,9.813316345214844,2.3211207389831543,-0.3541503846645355,32.7599983215332,-0.6299999952316284,5.039999961853027,120.87515258789062,-201.75225830078125,112.72434997558594
4701,1720521217.577219,10.014320373535156,-0.540797233581543,0.6365135312080383,10.850000381469728,-4.409999847412109,-0.8400000333786011,163.37203979492188,-213.80746459960935,172.405029296875,9.499845504760742,-3.139495372772217,1.5386399030685425,-3.3600001335144043,3.920000076293945,-5.25,56.400001525878906,27.000001907348636,-28.500001907348636,9.684099197387695,1.706143498420715,1.141417145729065,18.479999542236328,-6.929999828338623,14.630000114440918,22.64400291442871,-105.93262481689452,140.6015625,9.66256332397461,-1.2514909505844116,1.7755378484725952,-3.5,3.920000076293945,-4.96999979019165,157.71656799316406,-87.51485443115234,-179.746337890625,9.8085298538208,2.4264087677001958,-0.2775773406028747,28.489999771118164,-1.680000066757202,4.480000019073486,121.28412628173828,-200.78335571289065,111.0709457397461
4702,1720521217.60286,10.07892894744873,-0.5623334050178528,0.5575475692749023,10.710000038146973,-2.870000123977661,-0.3499999940395355,165.1739501953125,-213.5775909423828,172.99444580078125,9.538131713867188,-3.053350687026977,1.4524952173233032,-0.6299999952316284,4.480000019073486,-4.199999809265137,54.45000076293945,29.250001907348636,-27.150001525878903,9.681706428527832,1.9238981008529663,1.021771788597107,25.549999237060547,-4.130000114440918,11.899999618530272,22.64400291442871,-105.93262481689452,140.6015625,9.703242301940918,-1.275420069694519,1.8186101913452148,-2.5899999141693115,3.849999904632568,-5.53000020980835,157.26907348632812,-89.05142974853516,-181.55776977539065,9.89706802368164,2.541268348693848,-0.2680056989192962,21.06999969482422,-3.150000095367432,3.640000104904175,122.3387680053711,-201.99560546875,113.23214721679688
4703,1720521217.6138108,9.863567352294922,-0.3613291084766388,0.5599405169487,11.199999809265137,-1.680000066757202,0.6299999952316284,164.45111083984375,-213.9741973876953,173.7700958251953,9.303627014160156,-2.775773286819458,1.3998512029647827,-2.0299999713897705,3.7100000381469727,-2.7300000190734863,55.50000381469727,27.30000114440918,-27.600000381469727,9.667348861694336,2.1033661365509038,1.0528795719146729,27.86000061035156,-0.9800000190734864,9.9399995803833,22.64400291442871,-105.93262481689452,140.6015625,9.729564666748049,-1.366350531578064,1.868861198425293,0.699999988079071,1.8899999856948853,-5.599999904632568,157.49090576171875,-87.76335906982422,-181.4711151123047,9.959283828735352,2.4431591033935547,-0.1555390208959579,13.15999984741211,-4.130000114440918,2.870000123977661,119.0467300415039,-200.3877868652344,112.13735961914062
4704,1720521217.6394515,9.932961463928224,-0.4402951002120971,0.5814766883850098,10.850000381469728,-2.5899999141693115,0.9100000262260436,167.07730102539062,-215.20606994628903,174.65562438964844,9.377806663513184,-2.9049904346466064,1.3472073078155518,-5.320000171661377,1.9600000381469729,-0.9800000190734864,55.05000305175781,28.80000114440918,-28.80000114440918,9.648205757141112,2.134474039077759,1.1509888172149658,27.299999237060547,0.699999988079071,8.75,22.64400291442871,-105.93262481689452,140.6015625,9.68649196624756,-1.170132040977478,1.7851094007492063,4.269999980926514,-0.2100000083446502,-4.619999885559082,157.61293029785156,-88.01746368408203,-178.99363708496094,9.889888763427734,2.1464385986328125,-0.1675035655498504,8.399999618530273,-4.900000095367432,2.380000114440918,122.90997314453124,-203.15206909179688,113.30369567871094
4705,1720521217.665093,9.973641395568848,-0.4594383537769317,0.569512128829956,10.010000228881836,-1.8899999856948853,0.9100000262260436,166.31033325195312,-217.2118988037109,173.3238983154297,9.301233291625977,-2.9839563369750977,1.426173210144043,-6.300000190734863,1.6100000143051147,0.0700000002980232,56.70000076293945,28.350000381469727,-29.100000381469727,9.624276161193848,2.0746512413024902,1.275420069694519,27.15999984741211,0.5600000023841858,7.980000019073486,22.64400291442871,-105.93262481689452,140.6015625,9.6697416305542,-1.1557745933532717,1.7085363864898682,5.670000076293945,-1.6100000143051147,-3.3600001335144043,157.8389434814453,-91.52828979492188,-181.15953063964844,9.928175926208496,1.9597917795181277,-0.1890397369861602,7.559999942779541,-4.409999847412109,1.190000057220459,120.40452575683594,-203.0139312744141,111.38236236572266
